Name,Family,Infraorder,Suborder,Order,Informal,Avialae,Taxon Size,Diet,Max MYA,Min MYA,Lifespan (MYA),Early Age,Late Age,Early Period,Late Period
Liaoceratops,,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,125.77,119.5,6.269999999999996,Barremian,Aptian,Lower Cretaceous,Lower Cretaceous
Mosaiceratops,,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,93.9,72.1,21.80000000000001,Turonian,Campanian,Upper Cretaceous,Upper Cretaceous
Sasayamagnomus,,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,113.0,109.9,3.0999999999999943,Albian,Albian,Lower Cretaceous,Lower Cretaceous
Yamaceratops,,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,86.3,72.1,14.200000000000003,Santonian,Campanian,Upper Cretaceous,Upper Cretaceous
Albertaceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Lokiceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Medusaceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Centrosaurus,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,66.0,17.599999999999994,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Coronosaurus,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Rubeosaurus,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Spinops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Styracosaurus,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Avaceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Crittendenceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Furcatoceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Nasutoceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Yehuecauhceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Achelousaurus,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Einiosaurus,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Pachyrhinosaurus,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,3,Herbivore,83.6,66.0,17.599999999999994,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Diabloceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Machairoceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Menefeeceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Monoclonius,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Sinoceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Stellasaurus,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Wendiceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Xenoceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Eotriceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,72.1,66.0,6.099999999999994,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Regaliceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,72.1,66.0,6.099999999999994,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Titanoceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Torosaurus,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,2,Herbivore,83.6,66.0,17.599999999999994,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Triceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,4,Herbivore,83.6,66.0,17.599999999999994,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Agujaceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Anchiceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,66.0,17.599999999999994,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Arrhinoceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,66.0,17.599999999999994,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Bisticeratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Bravoceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,72.1,66.0,6.099999999999994,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Chasmosaurus,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,2,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Coahuilaceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,72.1,66.0,6.099999999999994,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Judiceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Kosmoceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Navajoceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Pentaceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,66.0,17.599999999999994,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Sierraceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,66.0,17.599999999999994,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Spiclypeus,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Terminocavus,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Utahceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Vagaceratops,Ceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Albalophosaurus,,,Neornithischia,Ornithischia,False,False,1,Herbivore,125.77,121.4,4.36999999999999,Barremian,Barremian,Lower Cretaceous,Lower Cretaceous
Micropachycephalosaurus,,,Neornithischia,Ornithischia,False,False,1,Herbivore,89.8,83.6,6.200000000000003,Coniacian,Santonian,Upper Cretaceous,Upper Cretaceous
Notoceratops,,,,Ornithischia,False,False,1,Herbivore,72.1,66.0,6.099999999999994,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Psittacosaurus,Psittacosauridae,Ceratopsia,Neornithischia,Ornithischia,False,False,9,Herbivore,139.8,100.5,39.30000000000001,Valanginian,Albian,Lower Cretaceous,Lower Cretaceous
Serendipaceratops,,,,Ornithischia,False,False,1,Herbivore,119.5,113.0,6.5,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous
Homalocephale,Pachycephalosauridae,Pachycephalosauria,Neornithischia,Ornithischia,False,False,1,Herbivore,72.1,66.0,6.099999999999994,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Pachycephalosaurus,Pachycephalosauridae,Pachycephalosauria,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,66.0,17.599999999999994,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Prenocephale,Pachycephalosauridae,Pachycephalosauria,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,66.0,17.599999999999994,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Stegoceras,Pachycephalosauridae,Pachycephalosauria,Neornithischia,Ornithischia,False,False,2,Herbivore,83.6,66.0,17.599999999999994,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Alaskacephale,Pachycephalosauridae,Pachycephalosauria,Neornithischia,Ornithischia,False,False,1,Herbivore,72.1,66.0,6.099999999999994,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Acrotholus,Pachycephalosauridae,Pachycephalosauria,Neornithischia,Ornithischia,False,False,1,Herbivore,86.3,83.6,2.700000000000003,Santonian,Santonian,Upper Cretaceous,Upper Cretaceous
Foraminacephale,Pachycephalosauridae,Pachycephalosauria,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Platytholus,Pachycephalosauridae,Pachycephalosauria,Neornithischia,Ornithischia,False,False,1,Herbivore,72.1,66.0,6.099999999999994,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Sphaerotholus,Pachycephalosauridae,Pachycephalosauria,Neornithischia,Ornithischia,False,False,5,Herbivore,83.6,66.0,17.599999999999994,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Amtocephale,Pachycephalosauridae,Pachycephalosauria,Neornithischia,Ornithischia,False,False,1,Herbivore,100.5,83.6,16.900000000000006,Cenomanian,Santonian,Upper Cretaceous,Upper Cretaceous
Colepiocephale,Pachycephalosauridae,Pachycephalosauria,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Gravitholus,Pachycephalosauridae,Pachycephalosauria,Neornithischia,Ornithischia,False,False,0,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Hanssuesia,Pachycephalosauridae,Pachycephalosauria,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Sinocephale,Pachycephalosauridae,Pachycephalosauria,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,66.0,17.599999999999994,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Tylocephale,Pachycephalosauridae,Pachycephalosauria,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Goyocephale,Pachycephalosauridae,Pachycephalosauria,Neornithischia,Ornithischia,False,False,1,Herbivore,86.3,66.0,20.299999999999997,Santonian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Tianyulong,Heterodontosauridae,,,Ornithischia,False,False,1,Herbivore,168.2,152.2,16.0,Bathonian,Kimmeridgian,Middle Jurassic,Upper Jurassic
Wannanosaurus,,Pachycephalosauria,Neornithischia,Ornithischia,False,False,1,Herbivore,72.1,66.0,6.099999999999994,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Gasparinisaura,,Ornithopoda,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Daurosaurus,,,Neornithischia,Ornithischia,False,False,1,Herbivore,168.2,145.0,23.19999999999999,Bathonian,Tithonian,Middle Jurassic,Upper Jurassic
Hypsilophodon,Hypsilophodontidae,,Neornithischia,Ornithischia,False,False,1,Herbivore,154.8,119.5,35.30000000000001,Kimmeridgian,Aptian,Upper Jurassic,Lower Cretaceous
Vectidromeus,Hypsilophodontidae,,Neornithischia,Ornithischia,False,False,1,Herbivore,145.0,100.5,44.5,Berriasian,Albian,Lower Cretaceous,Lower Cretaceous
Lophorhothon,,Ornithopoda,Neornithischia,Ornithischia,False,False,1,Herbivore,86.3,72.1,14.200000000000003,Santonian,Campanian,Upper Cretaceous,Upper Cretaceous
Barilium,,Ornithopoda,Neornithischia,Ornithischia,False,False,1,Herbivore,139.8,121.4,18.400000000000006,Valanginian,Barremian,Lower Cretaceous,Lower Cretaceous
Bolong,,Ornithopoda,Neornithischia,Ornithischia,False,False,1,Herbivore,125.77,119.5,6.269999999999996,Barremian,Aptian,Lower Cretaceous,Lower Cretaceous
Jinzhousaurus,,Ornithopoda,Neornithischia,Ornithischia,False,False,1,Herbivore,125.77,119.5,6.269999999999996,Barremian,Aptian,Lower Cretaceous,Lower Cretaceous
Altirhinus,,Ornithopoda,Neornithischia,Ornithischia,False,False,1,Herbivore,109.9,100.5,9.400000000000006,Albian,Albian,Lower Cretaceous,Lower Cretaceous
Hypselospinus,,Ornithopoda,Neornithischia,Ornithischia,False,False,1,Herbivore,140.6,132.6,8.0,Berriasian,Valanginian,Lower Cretaceous,Lower Cretaceous
Ouranosaurus,,Ornithopoda,Neornithischia,Ornithischia,False,False,1,Herbivore,121.4,66.0,55.400000000000006,Aptian,Maastrichtian,Lower Cretaceous,Upper Cretaceous
Bayannurosaurus,,Ornithopoda,Neornithischia,Ornithischia,False,False,1,Herbivore,121.4,119.5,1.9000000000000057,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous
Camptosaurus,Camptosauridae,Ornithopoda,Neornithischia,Ornithischia,False,False,2,Herbivore,157.9,145.0,12.900000000000006,Oxfordian,Tithonian,Upper Jurassic,Upper Jurassic
Iguanodon,Iguanodontidae,Ornithopoda,Neornithischia,Ornithischia,False,False,4,Herbivore,154.8,66.0,88.80000000000001,Kimmeridgian,Maastrichtian,Upper Jurassic,Upper Cretaceous
Oblitosaurus,,Ornithopoda,Neornithischia,Ornithischia,False,False,1,Herbivore,152.2,145.0,7.199999999999989,Kimmeridgian,Tithonian,Upper Jurassic,Upper Jurassic
Acristavus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Brachylophosaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Hadrosaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,False,False,1,Herbivore,86.3,66.0,20.299999999999997,Santonian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Maiasaura,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,False,False,1,Herbivore,86.3,72.1,14.200000000000003,Santonian,Campanian,Upper Cretaceous,Upper Cretaceous
Ornatops,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Probrachylophosaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Wulagasaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,False,False,1,Herbivore,72.1,66.0,6.099999999999994,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Edmontosaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,False,False,2,Herbivore,89.8,66.0,23.799999999999997,Coniacian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Kerberosaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,False,False,1,Herbivore,72.1,66.0,6.099999999999994,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Shantungosaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,False,False,1,Herbivore,100.5,66.0,34.5,Cenomanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Ugrunaaluk,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,False,False,1,Herbivore,72.1,66.0,6.099999999999994,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Gryposaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,False,False,4,Herbivore,86.3,66.0,20.299999999999997,Santonian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Huallasaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,66.0,17.599999999999994,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Kelumapusaura,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,66.0,17.599999999999994,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Kritosaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,False,False,2,Herbivore,86.3,66.0,20.299999999999997,Santonian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Naashoibitosaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Secernosaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,66.0,17.599999999999994,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Augustynolophus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,False,False,1,Herbivore,72.1,66.0,6.099999999999994,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Bonapartesaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,66.0,17.599999999999994,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Prosaurolophus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,66.0,17.599999999999994,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Saurolophus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,False,False,2,Herbivore,83.6,66.0,17.599999999999994,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Anasazisaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Kamuysaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,False,False,1,Herbivore,72.1,66.0,6.099999999999994,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Mandschurosaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,False,False,1,Herbivore,121.4,66.0,55.400000000000006,Aptian,Maastrichtian,Lower Cretaceous,Upper Cretaceous
Adynomosaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,False,False,1,Herbivore,72.1,66.0,6.099999999999994,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Ajnabia,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,False,False,1,Herbivore,72.1,66.0,6.099999999999994,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Arenysaurus,Hadrosauridae,Ornithopoda,Neornithischia,Ornithischia,False,False,1,Herbivore,72.1,66.0,6.099999999999994,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
